lat,lon,elev
-8.88826,33.37223,1597.689819335938
-6.420250000000001,37.26652,451.4219055175781
-5.642750000000001,35.7058,1127.895263671875
-3.846930000000001,32.35682,1266.429931640625
-3.869760000000001,32.61581,1208.562866210938
-6.315370000000001,36.83681,1370.73583984375
-6.218000000000002,36.41681,1084.068481445312
-5.760980000000002,32.73628,1131.854248046875
-3.104290000000002,33.69567,1295.98486328125
-3.321000000000002,33.77941,1257.740600585938
-3.035910000000002,33.28876,1212.6474609375
-1.616800000000002,31.51641,1205.213134765625
-9.317630000000001,32.88822,1394.507690429688
-8.579910000000002,32.31547,893.6090698242188
-9.157240000000002,32.51981,1522.4521484375
-3.435390000000002,32.61343,1221.529052734375
-5.576020000000002,36.12824,1227.344604492188
-2.954640000000002,33.57259,1256.581176757812
-6.170100000000001,35.89168,1114.69970703125
-4.196720000000002,33.01354,1206.752563476562
-3.749100000000002,33.05519,1200.157104492188
-3.867620000000002,33.11698999999999,1174.28369140625
-3.895010000000002,33.23808999999999,1118.294555664062
-2.746520000000002,32.99943999999999,1212.907348632812
-4.901930000000002,33.09526999999999,1232.854614257812
-9.305390000000003,33.63982999999999,1287.61767578125
-3.512740000000003,33.52188999999999,1160.131713867188
-3.848860000000003,33.34213999999999,1104.843017578125
-3.034660000000003,34.17036,1354.220825195312
-3.346080000000003,33.51682,1214.668701171875
-1.708930000000003,31.15674,1502.019775390625
-1.527530000000003,31.45006,1194.398315429688
-5.775830000000003,35.80323,1156.817626953125
-3.307880000000003,32.40157,1247.99267578125
-2.974520000000003,33.53201,1254.272705078125
-3.004900000000003,33.0847,1155.07421875
-2.928600000000003,30.72959,1431.6884765625
-2.642910000000003,32.94096,1153.395874023438
-5.789310000000003,35.79958999999999,1156.816284179688
-9.463130000000003,33.94953999999999,488.2837524414062
-4.666070000000003,35.77755999999999,1527.963745117188
-4.245140000000003,32.64634,1205.36669921875
-4.212570000000003,32.90441,1195.926879882812
-4.899240000000003,32.44226,1150.796142578125
-4.095010000000004,32.57843,1212.82177734375
-4.589510000000004,32.25132,1123.994140625
-4.967640000000004,32.00938,1126.74609375
-4.982630000000004,32.92473,1218.37109375
-4.262150000000004,32.97656,1215.301025390625
-4.657600000000004,32.19933,1143.120849609375
-9.295680000000004,33.88690999999999,837.4883422851562
-9.112790000000004,33.78648999999999,1688.91650390625
-9.228980000000004,33.59707999999999,1326.662719726562
-9.634440000000003,33.88063999999999,494.4460754394531
-9.004230000000003,33.11183999999999,1637.404907226562
-9.526680000000002,33.78757999999999,513.2132568359375
-9.613850000000003,33.86081999999999,500.5380554199219
-9.489180000000003,33.94403999999999,488.4651489257812
-9.521230000000003,33.78146999999998,524.1174926757812
-9.445780000000003,33.93455999999998,495.2988586425781
-1.450680000000003,31.15675999999998,1479.822265625
-3.574440000000003,31.96821999999998,1197.025634765625
-3.270070000000003,31.44176999999998,1198.810791015625
-3.085850000000003,31.16387999999998,1247.5322265625
-3.111350000000003,31.13632999999998,1207.059204101562
-3.033610000000003,31.21821999999998,1240.182739257812
-3.260750000000003,31.98601999999999,1211.001708984375
-3.265530000000003,31.85426999999999,1199.563720703125
-9.404030000000002,33.95034999999999,595.0475463867188
-8.437500000000002,33.00937999999999,984.6780395507812
-8.991680000000002,33.05076999999999,1638.670288085938
-5.768000000000002,35.80200999999999,1161.128051757812
-5.516680000000003,32.80320999999999,1172.394409179688
-5.107190000000003,32.89383999999998,1223.683471679688
-2.539190000000003,30.78406999999998,1705.324096679688
-3.853060000000003,33.32081999999998,1113.049438476562
-4.522270000000002,35.99950999999999,1180.630004882812
-9.076060000000002,32.98264999999999,1632.597290039062
-9.112090000000002,32.82568999999999,1402.624145507812
-9.219280000000001,32.90969999999999,1464.925415039062
-9.38901,33.81478999999999,611.6879272460938
-9.32558,33.07661999999999,1439.70947265625
-3.87696,33.52198999999999,1071.9072265625
-2.431690000000001,30.81465999999999,1401.955688476562
-8.768,34.36876999999999,1117.35302734375
-4.91239,32.13370999999999,1114.90380859375
-4.27752,32.50727999999999,1200.059814453125
-2.53353,31.69884999999999,1158.87548828125
-9.22755,33.16826,1738.459106445312
-2.84057,33.27775,1200.542236328125
-8.982380000000001,32.7946,1497.930053710938
-5.616060000000001,32.74487,1170.289794921875
-3.116800000000001,33.77907,1299.298583984375
-3.169930000000001,33.8507,1316.254028320312
-5.028320000000001,36.16947999999999,1397.303100585938
-3.910710000000001,32.77664999999999,1232.025268554688
-2.529810000000001,33.56246999999999,1170.748657226562
-2.958570000000001,33.16033999999999,1155.648071289062
-9.017660000000001,33.07960999999999,1654.746459960938
-9.29991,33.02908999999999,1501.419555664062
-9.260050000000001,33.87249999999999,959.673828125
-9.259780000000001,33.24054999999998,1810.957641601562
-9.354260000000002,33.66082999999998,1157.9541015625
-4.290790000000002,33.88151999999998,1088.280395507812
-9.293790000000001,33.82045999999998,1248.237670898438
-9.144860000000001,33.77815999999999,1626.992919921875
